"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27336","Receive one verifiable credential","","Wed May 28 13:42:45 UTC 2025","passed","Wed May 28 13:43:13 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","44775","Receive multiple verifiable credentials sequentially","","Wed May 28 13:42:01 UTC 2025","passed","Wed May 28 13:42:45 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27714","Receive multiple verifiable credentials at once","","Wed May 28 13:41:33 UTC 2025","passed","Wed May 28 13:42:01 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","48223","Revoked credential should fail verification","","Wed May 28 13:46:12 UTC 2025","passed","Wed May 28 13:47:00 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","35801","Should fail for unsatisfied predicate","","Wed May 28 13:44:16 UTC 2025","passed","Wed May 28 13:44:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide jwt proof to Cloud Agent","36591","Respond to request proof","","Wed May 28 13:39:52 UTC 2025","passed","Wed May 28 13:40:29 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","35936","Respond to a present request with a wrong credential","","Wed May 28 13:38:40 UTC 2025","passed","Wed May 28 13:39:16 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26973","Receive one sd+jwt credential","","Wed May 28 13:43:13 UTC 2025","passed","Wed May 28 13:43:40 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","36176","Respond to request proof","","Wed May 28 13:40:29 UTC 2025","passed","Wed May 28 13:41:05 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9554","Create connection: [label=null; goalCode=automation; goal=null]","","Wed May 28 13:38:11 UTC 2025","passed","Wed May 28 13:38:20 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9560","Create connection: [label=null; goalCode=null; goal=null]","","Wed May 28 13:38:30 UTC 2025","passed","Wed May 28 13:38:40 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","27985","Receive one anonymous credential","","Wed May 28 13:41:05 UTC 2025","passed","Wed May 28 13:41:33 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9701","Create connection: [label=null; goalCode=null; goal=automation description]","","Wed May 28 13:38:20 UTC 2025","passed","Wed May 28 13:38:30 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9684","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Wed May 28 13:37:42 UTC 2025","passed","Wed May 28 13:37:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","39310","SDKs JWT Verification","","Wed May 28 13:47:00 UTC 2025","passed","Wed May 28 13:47:39 UTC 2025","","sdk-swift","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","35859","Revoke one verifiable credential","","Wed May 28 13:43:40 UTC 2025","passed","Wed May 28 13:44:16 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","40072","Active credential should pass verification","","Wed May 28 13:45:32 UTC 2025","passed","Wed May 28 13:46:12 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","1278","Agent without a seed should not be able to restore the backup","","Wed May 28 13:36:48 UTC 2025","passed","Wed May 28 13:36:49 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","47507","Restored backup should be functional","","Wed May 28 13:36:54 UTC 2025","passed","Wed May 28 13:37:42 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","36500","Respond to anonymous request proof","","Wed May 28 13:39:16 UTC 2025","passed","Wed May 28 13:39:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","40282","Should succeed","","Wed May 28 13:44:51 UTC 2025","passed","Wed May 28 13:45:32 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9622","Create connection: [label=alice; goalCode=null; goal=null]","","Wed May 28 13:38:01 UTC 2025","passed","Wed May 28 13:38:11 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9611","Create connection: [label=; goalCode=; goal=]","","Wed May 28 13:37:52 UTC 2025","passed","Wed May 28 13:38:01 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","803","Create and restore a backup","","Wed May 28 13:36:49 UTC 2025","passed","Wed May 28 13:36:50 UTC 2025","","sdk-swift","",""
