"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","sdk-swift","0","Create connection","6","0","","0"
"0","sdk-swift","0","Verify JWT presentation","2","0","","0"
"0","sdk-swift","0","Revoke JWT Credential","1","0","","0"
"0","sdk-swift","0","Provide anonymous proof","2","0","","0"
"0","sdk-swift","0","Receive verifiable credential","4","0","","0"
"0","sdk-swift","0","Verify SD+JWT presentation","1","0","","0"
"0","sdk-swift","0","Provide sdjwt proof","1","0","","0"
"0","sdk-swift","0","Verify Anoncred presentation","2","0","","0"
"0","sdk-swift","0","Backup","3","0","","0"
"0","sdk-swift","0","Provide jwt proof","1","0","","0"
"0","sdk-swift","0","Receive anonymous credential","1","0","","0"
