"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","28068","Receive multiple verifiable credentials at once","","Fri May 09 18:56:02 UTC 2025","passed","Fri May 09 18:56:30 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","89947","SDKs JWT Revoked Verification","","Fri May 09 19:02:36 UTC 2025","failed","Fri May 09 19:04:06 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7697","Create connection: [label=null; goalCode=automation; goal=null]","","Fri May 09 18:49:39 UTC 2025","passed","Fri May 09 18:49:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","28742","Receive one verifiable credential","","Fri May 09 18:53:04 UTC 2025","passed","Fri May 09 18:53:33 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","28535","Receive multiple verifiable credentials at once","","Fri May 09 18:54:19 UTC 2025","passed","Fri May 09 18:54:48 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","40082","Edge Agent with a credential should provide proof to Cloud Agent","","Fri May 09 18:50:02 UTC 2025","passed","Fri May 09 18:50:42 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","48579","SDKs Anoncreds Verification","","Fri May 09 18:59:30 UTC 2025","passed","Fri May 09 19:00:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","37584","Edge Agent with a credential should provide proof to Cloud Agent","","Fri May 09 18:51:20 UTC 2025","passed","Fri May 09 18:51:57 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47809","SDK provides right proof","","Fri May 09 19:04:06 UTC 2025","passed","Fri May 09 19:04:54 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","46073","Receive multiple verifiable credentials sequentially","","Fri May 09 18:55:16 UTC 2025","passed","Fri May 09 18:56:02 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7974","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Fri May 09 18:49:16 UTC 2025","passed","Fri May 09 18:49:24 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","63472","Restored backup should be functional","","Fri May 09 18:48:12 UTC 2025","passed","Fri May 09 18:49:16 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","45897","Receive multiple verifiable credentials sequentially","","Fri May 09 18:53:33 UTC 2025","passed","Fri May 09 18:54:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47570","SDKs JWT Verification","","Fri May 09 19:00:19 UTC 2025","passed","Fri May 09 19:01:06 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","90117","Revoke one verifiable credential","","Fri May 09 18:58:00 UTC 2025","failed","Fri May 09 18:59:30 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7718","Create connection: [label=null; goalCode=null; goal=automation description]","","Fri May 09 18:49:47 UTC 2025","passed","Fri May 09 18:49:54 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","38404","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Fri May 09 18:51:57 UTC 2025","passed","Fri May 09 18:52:36 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7687","Create connection: [label=alice; goalCode=null; goal=null]","","Fri May 09 18:49:31 UTC 2025","passed","Fri May 09 18:49:39 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","28707","Receive one verifiable credential","","Fri May 09 18:54:48 UTC 2025","passed","Fri May 09 18:55:16 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46855","Wrong SD+JWT presentation","","Fri May 09 19:04:54 UTC 2025","passed","Fri May 09 19:05:41 UTC 2025","","sdk-ts","",""
