"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","sdk-ts","0","Create connection","6","0","","0"
"0","sdk-ts","0","Verify Anoncreds presentation","1","0","","0"
"0","sdk-ts","0","Revoke JWT Credential","1","0","","0"
"0","sdk-ts","0","Receive JWT Credential","3","0","","0"
"0","sdk-ts","0","Receive SD+JWT Credential","3","0","","0"
"0","sdk-ts","0","Verify JWT presentation","2","0","","0"
"0","sdk-ts","0","Provide sdjwt proof","1","0","","0"
"0","sdk-ts","0","Backup","3","0","","0"
"0","sdk-ts","0","Verify SD+JWT presentation","2","0","","0"
"0","sdk-ts","0","Provide anoncred proof","2","0","","0"
"0","sdk-ts","0","Provide jwt proof","1","0","","0"
"0","sdk-ts","0","Receive Anoncred Credential","1","0","","0"
