"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","71804","SDKs JWT Revoked Verification","","Sat May 17 03:35:47 UTC 2025","passed","Sat May 17 03:36:59 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27254","Receive one verifiable credential","","Sat May 17 03:31:47 UTC 2025","passed","Sat May 17 03:32:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27264","Receive one verifiable credential","","Sat May 17 03:30:07 UTC 2025","passed","Sat May 17 03:30:34 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8254","Create connection: [label=null; goalCode=automation; goal=null]","","Sat May 17 03:26:44 UTC 2025","passed","Sat May 17 03:26:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","45390","Receive multiple verifiable credentials sequentially","","Sat May 17 03:30:34 UTC 2025","passed","Sat May 17 03:31:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36887","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Sat May 17 03:29:02 UTC 2025","passed","Sat May 17 03:29:38 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","37195","Edge Agent with a credential should provide proof to Cloud Agent","","Sat May 17 03:28:24 UTC 2025","passed","Sat May 17 03:29:02 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","45185","Receive multiple verifiable credentials sequentially","","Sat May 17 03:32:14 UTC 2025","passed","Sat May 17 03:32:59 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","47179","Revoke one verifiable credential","","Sat May 17 03:33:27 UTC 2025","passed","Sat May 17 03:34:15 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","28065","Receive one anonymous credential","","Sat May 17 03:29:38 UTC 2025","passed","Sat May 17 03:30:07 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8211","Create connection: [label=null; goalCode=null; goal=null]","","Sat May 17 03:27:00 UTC 2025","passed","Sat May 17 03:27:09 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8236","Create connection: [label=; goalCode=; goal=]","","Sat May 17 03:26:27 UTC 2025","passed","Sat May 17 03:26:36 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","37203","Respond to a present request with a wrong credential","","Sat May 17 03:27:47 UTC 2025","passed","Sat May 17 03:28:24 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","38563","Edge Agent with a credential should provide proof to Cloud Agent","","Sat May 17 03:27:09 UTC 2025","passed","Sat May 17 03:27:47 UTC 2025","","sdk-ts","",""
