"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","0","Receive verifiable credential","0","0","","0"
"0","sdk-ts","0","Backup","3","0","","0"
"0","sdk-ts","0","Revoke JWT Credential","1","0","","0"
"0","sdk-ts","0","Create connection","6","0","","0"
"3","","0","Backup","0","0","","0"
"1","","0","Receive anonymous credential","0","0","","0"
"2","","0","Verify Anoncred presentation","0","0","","0"
"2","","0","Verify JWT presentation","0","0","","0"
"0","sdk-ts","0","Receive JWT Credential","3","0","","0"
"0","sdk-ts","0","Verify SD+JWT presentation","2","0","","0"
"2","","0","Provide anonymous proof","0","0","","0"
"6","","0","Create connection","0","0","","0"
"0","sdk-ts","0","Receive SD+JWT Credential","3","0","","0"
"0","sdk-ts","0","Provide sdjwt proof","1","0","","0"
"0","sdk-ts","0","Provide anoncred proof","2","0","","0"
"1","","0","Verify SD+JWT presentation","0","0","","0"
"1","","0","Provide sdjwt proof","0","0","","0"
"1","","0","Revoke JWT Credential","0","0","","0"
"0","sdk-ts","0","Verify JWT presentation","2","0","","0"
"0","sdk-ts","0","Receive Anoncred Credential","1","0","","0"
"0","sdk-ts","0","Provide jwt proof","1","0","","0"
"0","sdk-ts","0","Verify Anoncreds presentation","1","0","","0"
"1","","0","Provide jwt proof","0","0","","0"
